number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
141,COMPLETE,"[69.0, 6.3235076167369915]",2025-10-11T05:51:06.462836,2025-10-11T05:59:02.223278,475.760442,0.054285415424187015,0.10368730150589486,0.008,50.0
142,COMPLETE,"[71.0, 6.329418589510638]",2025-10-11T05:59:02.233286,2025-10-11T06:06:57.881842,475.648556,0.05422626635744568,0.10385898832358079,0.008,50.0
143,COMPLETE,"[69.0, 5.34517679367408]",2025-10-11T06:06:57.891850,2025-10-11T06:14:54.514143,476.622293,0.04123040179070894,0.4794996878829634,0.008,50.0
144,COMPLETE,"[128.0, 4.430728124187182]",2025-10-11T06:14:54.525152,2025-10-11T06:22:51.011604,476.486452,0.032305414511740016,0.09618822586158225,0.001,50.0
145,COMPLETE,"[145.0, 5.643815701776084]",2025-10-11T06:22:51.023616,2025-10-11T06:30:48.015864,476.992248,0.04271133278721662,0.07927803859910802,0.004849925785419798,50.0
146,COMPLETE,"[154.0, 4.975861554044872]",2025-10-11T06:30:48.025873,2025-10-11T06:38:44.367093,476.34122,0.04100601972934223,0.14619340919861382,0.001,50.0
147,COMPLETE,"[65.0, 2.818677556597742]",2025-10-11T06:38:44.378102,2025-10-11T06:46:40.483438,476.105336,0.04750417920225688,0.01,0.001,50.0
148,COMPLETE,"[158.0, 5.278361670265139]",2025-10-11T06:46:40.493447,2025-10-11T06:54:36.388481,475.895034,0.040822368782414124,0.1063045505557292,0.0019065078919708821,50.0
149,COMPLETE,"[5.0, 0.0]",2025-10-11T06:54:36.399490,2025-10-11T07:02:31.909923,475.510433,0.3651904294421666,0.6,0.008,50.0
150,COMPLETE,"[73.0, 2.685284054868445]",2025-10-11T07:02:31.920933,2025-10-11T07:10:27.938078,476.017145,0.009673507826676975,0.01,0.008,50.0
151,COMPLETE,"[155.0, 5.282081097723732]",2025-10-11T07:10:27.948086,2025-10-11T07:18:23.747707,475.799621,0.041128809755887334,0.10319205465767763,0.0021612288173407206,50.0
152,COMPLETE,"[108.0, 6.068030043918622]",2025-10-11T07:18:23.758717,2025-10-11T07:26:19.698622,475.939905,0.04772275992896066,0.10467177499526767,0.008,50.0
153,COMPLETE,"[37.0, 0.0]",2025-10-11T07:26:19.709631,2025-10-11T07:34:16.427169,476.717538,0.12121082156355685,0.6,0.008,50.0
