number,CQ,MC,gamma,theta,m0,h,beta_prime,Nvirt
191,65.0,4.762790475747221,0.09351799178026932,0.3561800082726778,0.005914112567613271,0.3083415752586432,22.653172999102573,267
193,1.0,1.9481475921872078,0.11408701174640817,0.11480444617254089,0.001288633004677919,0.43803902936307104,29.979007146951147,153
194,8.0,4.7184184826465305,0.0657200835865795,0.4363305547638077,0.001288633004677919,0.43803902936307104,40.138506085950596,112
196,2.0,4.522464739054838,0.1255416389789605,0.5802836879687931,0.005073912554173524,0.33402055597706504,20.051468280858806,72
197,2.0,5.082313595452028,0.11408701174640817,0.03269375428384658,0.003118060429905457,0.36453946406370596,21.48524640682353,236
199,3.0,5.162080463333592,0.11577683696559413,0.14899385780949956,0.002955841011151792,0.3380221787451879,22.653172999102573,181
200,57.0,4.6170855826708355,0.037761773751946934,0.5002000711050099,0.004249781967221172,0.47879371262673226,40.30604118062969,293
202,47.0,4.22315314081556,0.028673037380959533,0.4198538148599367,0.005263302416213085,0.374076550480799,45.54284233747276,248
203,1.0,5.0013737401693925,0.08266428109544308,0.4014015269252246,0.00290167723545989,0.33402055597706504,34.33294983373221,72
205,1.0,4.688410188750153,0.06707779187420466,0.08429763106162932,0.004876008624721988,0.38501940817654945,22.65187020089464,125
206,105.0,3.5151216897862656,0.017005257078706242,0.3875693695463503,0.0035615365966875086,0.4431531552026543,40.66463236801917,315
207,49.0,2.964581978955935,0.02089366983798107,0.7226779108326955,0.0031019699567173984,0.43803902936307104,37.37457780377375,184
208,17.0,4.20277586489264,0.058175680043889205,0.5065270758871951,0.004544691304773046,0.4966576565651361,22.203052280677202,355
209,24.0,4.493821406385233,0.05432498733423014,0.5773103277997221,0.002464691757491659,0.3158449143626015,45.53877138303464,230
210,0.0,2.648073553834728,0.026597733200153253,0.022334806316737413,0.004324771000356528,0.4449371035902929,20.231650132630513,179
212,23.0,3.504362929348933,0.017005257078706242,0.4198538148599367,0.005641983615625242,0.4717749505104731,39.177358089441995,230
213,55.0,3.987166953994744,0.02624474002119246,0.34142235979698393,0.005515569512672794,0.4237820274476891,39.197997465757794,248
214,27.0,5.643009254433137,0.10215927508239338,0.15643139658483834,0.0058111708095673256,0.31093910622390203,27.68155756043933,248
217,8.0,3.7341815234390388,0.015600089552382755,0.1958273809087437,0.0024490921960693786,0.4237743101048812,47.36823398732476,86
218,35.0,4.905377828836519,0.08266428109544308,0.4014015269252246,0.005262932484605039,0.42628751044724766,24.664432282737323,176
220,59.0,5.379650660663576,0.069274461903986,0.34142235979698393,0.005263302416213085,0.374076550480799,45.54284233747276,233
221,43.0,4.7453681057679855,0.1457230180340853,0.631328690240336,0.005262932484605039,0.31052020977766065,24.04064345915575,176
222,0.0,4.230720190271331,0.02964312761619531,0.1132386511485777,0.003959772838017819,0.47521163295922847,35.36687934118963,204
223,43.0,5.155107969839949,0.08576806192246061,0.3670067238636712,0.004503957254295709,0.3149825948989308,27.68155756043933,248
224,50.0,0.645525546401785,0.10257595580433676,0.3875693695463503,0.005262932484605039,0.4534358457844642,40.138506085950596,176
225,18.0,3.684110367438816,0.02089366983798107,0.19738950869501504,0.0026292766179968965,0.4121451086726931,37.37457780377375,230
226,14.0,5.320854262096072,0.037761773751946934,0.2066065579973644,0.003328155538637541,0.49189025413414633,47.89790526661749,92
228,16.0,3.6153836717168417,0.02089366983798107,0.14899385780949956,0.0031019699567173984,0.4121451086726931,37.37457780377375,184
230,17.0,3.2846693867322534,0.026597733200153253,0.4014015269252246,0.001892104679594716,0.44065341873644615,32.544627076207064,158
232,29.0,4.487366751507361,0.04311677257598365,0.3520699183782345,0.0010944666985623955,0.44098970520212144,43.23408606734672,344
233,57.0,5.426307052320673,0.059187361163126076,0.3275013607464429,0.004167225985881965,0.4556476289153951,43.59266276223231,233
